Feature,Score
Int'l Plan,241.2060037216748
Day Mins,145.81030612064626
CustServ Calls,108.96076177729806
High_CustServ_Calls,99.30163074533651
Day_Avg_Call_Duration,81.08314616633871
VMail Plan,35.122943557117274
Eve Mins,28.501952106920424
VMail Message,27.034131310965495
Intl_Avg_Call_Duration,23.24755154294339
Int'l Mins,14.820213547966432
Int'l Calls,11.848276918770473
Eve_Avg_Call_Duration,10.064733907579386
Night Mins,4.364961950581659
Night_Avg_Call_Duration,2.1013657052575914
Day Calls,1.3085187165548826
Account Length,0.8825807709281364
Eve Calls,0.2196732202909741
Area Code,0.12698640850620882
Night Calls,0.12454320711668491
